lineid,car,time,location,longitude,latitude,cityid,cityname
238014,282-BY,"2026/04/06 17:42:35",新北市樹林區保安街一段289巷7-2號,121.41517,24.9959616666667,6500700,樹林區
238026,KEU-3220,"2026/04/06 17:42:35",新北市樹林區新興街19巷36弄6號,121.402418333333,24.973245,6500700,樹林區
238016,KEU-3221,"2026/04/06 17:42:29",新北市樹林區育英街176號,121.418368333333,24.9898416666667,6500700,樹林區
239004,AAC-297,"2026/04/06 17:42:36",新北市三峽區隆恩街250號,121.356931666667,24.9408116666667,6500800,鶯歌區
239005,KEL-5007,"2026/04/06 17:42:26",新北市鶯歌區鳳吉四街47號,121.327493333333,24.9732766666667,6500800,鶯歌區
239008,527-UM,"2026/04/06 17:42:30",新北市鶯歌區大湖路732巷3弄2號,121.3328,24.9774883333333,6500800,鶯歌區
239003,360-BY,"2026/04/06 17:42:38",新北市鶯歌區鶯桃路206巷58號,121.338125,24.9602833333333,6500800,鶯歌區
239002,359-BY,"2026/04/06 17:42:30",新北市鶯歌區南雅路489號,121.345658333333,24.9540166666667,6500800,鶯歌區
239007,KEG-2903,"2026/04/06 17:42:27",新北市鶯歌區鶯桃路182巷8號,121.33711,24.9557133333333,6500800,鶯歌區
239006,KEL-6152,"2026/04/06 17:42:33",新北市鶯歌區永和街115巷20號,121.333403333333,24.96904,6500800,鶯歌區
221010,647-BX,"2026/04/06 17:42:21",新北市汐止區汐萬路一段418巷26號,121.650106666667,25.0785833333333,6501100,汐止區
221027,753-BX,"2026/04/06 17:42:29",新北市汐止區汐萬路一段256巷3號,121.652026666667,25.0748883333333,6501100,汐止區
238020,303-VK,"2026/04/06 17:42:35",新北市樹林區俊英街116巷11號,121.427808333333,25.0058483333333,6500700,樹林區
242015,KES-6951,"2026/04/06 17:42:26",新北市新莊區新泰路320號,121.445071666667,25.0416366666667,6500500,新莊區
220043,KES-6950,"2026/04/06 16:03:14",新北市板橋區民生路二段161巷1號,121.470088333333,25.0199366666667,6500100,板橋區
242031,280-VK,"2026/04/06 17:42:33",新北市新莊區新泰路321巷2弄1號,121.444816666667,25.0414516666667,6500500,新莊區
242053,KEU-5227,"2026/04/06 17:42:38",新北市新莊區新樹路392號,121.432301666667,25.0026566666667,6500500,新莊區
249003,KEG-2055,"2026/04/06 17:42:34",新北市八里區中山路二段228號,121.405168333333,25.1513183333333,6502300,八里區
251016,KEJ-6628,"2026/04/06 17:42:27",新北市淡水區埤島39-15號,121.452818333333,25.1959216666667,6501000,淡水區
247018,KEG-2056,"2026/04/06 17:42:36",新北市蘆洲區三民路100號,121.472123333333,25.08665,6501400,蘆洲區
221015,KEU-3227,"2026/04/06 17:42:21",新北市汐止區康寧街901號,121.651791666667,25.0749916666667,6501100,汐止區
227001,KEU-3222,"2026/04/06 17:42:34",新北市雙溪區三貂里定福路1-2號,121.850715,25.063635,6502500,雙溪區
228001,KEU-3215,"2026/04/06 17:42:15",新北市貢寮區仁里里仁愛路95-1號,121.92771,25.05557,6502600,貢寮區
235057,KEU-6091,"2026/04/06 17:42:30",新北市中和區員山路36巷16-2號,121.485353333333,24.99168,6500300,中和區
235062,KEU-3213,"2026/04/06 17:42:22",新北市中和區員山路36巷16-3號,121.484913333333,24.9916683333333,6500300,中和區
236063,752-BX,"2026/04/06 17:42:22",新北市土城區城林路6巷80號,121.438701666667,24.9797133333333,6501300,土城區
236039,KEV-0311,"2026/04/06 17:42:21",新北市土城區城林路6巷80號,121.438513333333,24.9796916666667,6501300,土城區
236078,043-R5,"2026/04/06 15:52:46",新北市土城區永平街50-1號,121.427063333333,24.95925,6501300,土城區
